"ID","Station Name","Total Docks","Docks in Service","Status","Latitude","Longitude"
"a3a7faf7-a135-11e9-9cda-0a87ae2ba916","Elizabeth St & Fulton St","15","15","In Service","41.88672","-87.65957"
"2096535401636666136","Aberdeen St & Carroll Ave","16","16","In Service","41.88819","-87.65459"
"2111730464161852178","Elston Ave & George St","11","11","In Service","41.934003","-87.690823"
"a3b2e72c-a135-11e9-9cda-0a87ae2ba916","Chicago Ave & Washington St","15","15","In Service","42.032562","-87.679101"
"532a6e43-6efc-4c87-81a8-c75dfd8e8fde","Wentworth Ave & Cermak Rd*","16","16","In Service","41.8532144185","-87.6318722963"
"a3ad7636-a135-11e9-9cda-0a87ae2ba916","MLK Jr Dr & 56th St","11","11","In Service","41.7934294566","-87.6158532619"
"1929516918167933834","California Ave & Touhy Ave","11","11","In Service","42.0120368","-87.7004371"
"2106635617065978412","Daley Center Plaza","60","60","In Service","41.88424","-87.62963"
"a3a9892f-a135-11e9-9cda-0a87ae2ba916","DuSable Lake Shore Dr & North Blvd","39","39","In Service","41.911722","-87.626804"
"2111748084869249170","Kedzie Ave & George St","11","11","In Service","41.933886","-87.707262"
"a3aa0699-a135-11e9-9cda-0a87ae2ba916","Broadway & Wilson Ave","23","23","In Service","41.965221","-87.658139"
"2064963313873613218","Racine Ave & Belmont Ave","16","16","In Service","41.939743","-87.658865"
"a3aa2abb-a135-11e9-9cda-0a87ae2ba916","Broadway & Barry Ave","19","19","In Service","41.937582316","-87.644097805"
"1955858510671552648","Kilbourn Ave & Diversey Ave","15","15","In Service","41.93179","-87.73934"
"a3ac6f28-a135-11e9-9cda-0a87ae2ba916","Larrabee St & Oak St","19","19","In Service","41.9002194932","-87.6429854676"
"a3b42f5f-a135-11e9-9cda-0a87ae2ba916","Central Park Ave & Bloomingdale Ave","11","11","In Service","41.914166","-87.716755"
"a3b305e7-a135-11e9-9cda-0a87ae2ba916","Chicago Ave & Sheridan Rd","15","15","In Service","42.050491","-87.677821"
"2056811709817405946","Milwaukee Ave & Highland Ave","12","12","In Service","41.99636","-87.78674"
"a3addda0-a135-11e9-9cda-0a87ae2ba916","Kedzie Ave & 24th St","11","11","In Service","41.848193","-87.705412"
"a3ad2843-a135-11e9-9cda-0a87ae2ba916","Lake Park Ave & 35th St","19","19","In Service","41.8312742355","-87.6087991946"
"1879438378503419960","Richmond St & Lincoln Ave","11","11","In Service","41.9881174","-87.7031754"
"a3b0bd42-a135-11e9-9cda-0a87ae2ba916","Albany Ave & Bloomingdale Ave","15","15","In Service","41.9140267127","-87.705126462"
"a3a513e9-a135-11e9-9cda-0a87ae2ba916","Clinton St & Washington Blvd","31","31","In Service","41.88338","-87.64117"
"a3a72fc4-a135-11e9-9cda-0a87ae2ba916","Wells St & Polk St","19","19","In Service","41.8727315423","-87.6335164905"
"a3aa3adf-a135-11e9-9cda-0a87ae2ba916","Broadway & Cornelia Ave","24","24","In Service","41.945529","-87.646439"
"a3a76cb6-a135-11e9-9cda-0a87ae2ba916","Greenview Ave & Fullerton Ave","15","15","In Service","41.92533","-87.6658"
"a3a84fb8-a135-11e9-9cda-0a87ae2ba916","Clark St & Montrose Ave","19","19","In Service","41.961588","-87.666036"
"a3a75885-a135-11e9-9cda-0a87ae2ba916","Damen Ave & Thomas St (Augusta Blvd)","23","23","In Service","41.901315","-87.677409"
"a3a89488-a135-11e9-9cda-0a87ae2ba916","Woodlawn Ave & 55th St","19","19","In Service","41.795264","-87.596471"
"1933998036428004326","Lawndale Ave & 30th St","15","15","In Service","41.8389124","-87.7168955"
"a3af460f-a135-11e9-9cda-0a87ae2ba916","Clark St & Berwyn Ave","19","19","In Service","41.9780306225","-87.6685649157"
"a3b49b4c-a135-11e9-9cda-0a87ae2ba916","Dodge Ave & Mulford St","15","15","In Service","42.023463","-87.699595"
"a3a453fa-a135-11e9-9cda-0a87ae2ba916","State St & Kinzie St","31","31","In Service","41.8893754666","-87.6270765066"
"1879439877447006990","Kildare Ave & 85th St (Kostner Ave & 87th St TEMPORARY)","15","15","In Service","41.734929","-87.731187"
"a3b4a579-a135-11e9-9cda-0a87ae2ba916","Leavitt St & Belmont Ave","15","15","In Service","41.939354","-87.683282"
"a3a70bbd-a135-11e9-9cda-0a87ae2ba916","Michigan Ave & 14th St","19","19","In Service","41.864059","-87.623727"
"a3b00055-a135-11e9-9cda-0a87ae2ba916","Kosciuszko Park","15","15","In Service","41.9305853714","-87.7237773635"
"2101023507274653740","Eddy/Seminary Corral","120","120","In Service","41.9461279","-87.6566721"
"2101023507744358676","Addison/Racine Corral","120","120","In Service","41.9470683","-87.6593535"
"2101023507744358674","Addison/Sheffield SE Corral","120","120","In Service","41.9470281","-87.654252"
"1978529864027224986","Narragansett Ave & Montrose Ave","16","16","In Service","41.959978","-87.786928"
"a3a79fdc-a135-11e9-9cda-0a87ae2ba916","Wabash Ave & Grand Ave","31","31","In Service","41.891466","-87.626761"
"a3ac1607-a135-11e9-9cda-0a87ae2ba916","Ada St & Washington Blvd","15","15","In Service","41.88283","-87.661206"
"1962566552401003212","Oconto Ave & Belmont Ave","15","15","In Service","41.93783","-87.80788"
"a3a59915-a135-11e9-9cda-0a87ae2ba916","Sedgwick St & North Ave","16","16","In Service","41.910983","-87.638525"
"a3a639f5-a135-11e9-9cda-0a87ae2ba916","Calumet Ave & 33rd St","11","11","In Service","41.83472","-87.61797"
"2101023507744358678","Grace/Sheffield Corral","120","120","In Service","41.9511586","-87.6546115"
"2101023507274653736","Clark/Newport Corral","120","120","In Service","41.9449411","-87.654611"
"2101023507274653734","Clark/Racine Corral","120","120","In Service","41.950436","-87.6593212"
"2101023507274653738","Addison/Wilton Corral","120","120","In Service","41.9473827","-87.6531716"
"2101023512039325980","Racine/Eddy Corral","120","120","In Service","41.9463404","-87.6591024"
"2101023511569621042","Waveland/Racine Corral","120","120","In Service","41.9488214","-87.6592823"
"2101023511569621038","Sheffield/Cornelia Corral","120","120","In Service","41.9452875","-87.6542225"
"2114129634899669242","Rockwell/Irving Park Hub","120","120","In Service","41.954212","-87.69317"
"2076839380930411492","LaSalle St & Washington St Corral","34","34","In Service","41.88288","-87.63251"
"2101023507744358682","Sheffield/Newport Corral","120","120","In Service","41.9446132","-87.6542018"
"2101023511569621040","Addison/Sheffield SW Corral","120","120","In Service","41.9469539","-87.6544123"
"a3a739e4-a135-11e9-9cda-0a87ae2ba916","Theater on the Lake","31","31","In Service","41.926277","-87.630834"
"a3a3bc53-a135-11e9-9cda-0a87ae2ba916","Wacker Dr & Washington St","19","19","In Service","41.8831433644","-87.6372420788"
